Dataset using: ../Dataset/ablation_test.pkl
(200, 2)
start training model with fold  0
Train Epoch:0  |Loss: 1.092 | Train Acc: 0.425
Eval Epoch: 0 | Loss: 1.092 | Eval Acc: 0.500
Test Epoch: 0 | Loss: 1.090 | Test Acc: 0.500
saving best....
Train Epoch:1  |Loss: 1.069 | Train Acc: 0.500
Eval Epoch: 1 | Loss: 1.082 | Eval Acc: 0.500
Test Epoch: 1 | Loss: 1.080 | Test Acc: 0.500
Train Epoch:2  |Loss: 1.050 | Train Acc: 0.500
Eval Epoch: 2 | Loss: 1.075 | Eval Acc: 0.500
Test Epoch: 2 | Loss: 1.073 | Test Acc: 0.500
Train Epoch:3  |Loss: 1.045 | Train Acc: 0.500
Eval Epoch: 3 | Loss: 1.074 | Eval Acc: 0.500
Test Epoch: 3 | Loss: 1.073 | Test Acc: 0.500
Train Epoch:4  |Loss: 1.038 | Train Acc: 0.500
Eval Epoch: 4 | Loss: 1.075 | Eval Acc: 0.500
Test Epoch: 4 | Loss: 1.075 | Test Acc: 0.500
Train Epoch:5  |Loss: 1.032 | Train Acc: 0.500
Eval Epoch: 5 | Loss: 1.074 | Eval Acc: 0.500
Test Epoch: 5 | Loss: 1.074 | Test Acc: 0.500
Train Epoch:6  |Loss: 1.031 | Train Acc: 0.500
Eval Epoch: 6 | Loss: 1.071 | Eval Acc: 0.500
Test Epoch: 6 | Loss: 1.071 | Test Acc: 0.500
Train Epoch:7  |Loss: 1.029 | Train Acc: 0.500
Eval Epoch: 7 | Loss: 1.069 | Eval Acc: 0.500
Test Epoch: 7 | Loss: 1.069 | Test Acc: 0.500
Train Epoch:8  |Loss: 1.028 | Train Acc: 0.500
Eval Epoch: 8 | Loss: 1.070 | Eval Acc: 0.500
Test Epoch: 8 | Loss: 1.070 | Test Acc: 0.500
Train Epoch:9  |Loss: 1.026 | Train Acc: 0.500
Eval Epoch: 9 | Loss: 1.065 | Eval Acc: 0.500
Test Epoch: 9 | Loss: 1.066 | Test Acc: 0.500
Train Epoch:10  |Loss: 1.023 | Train Acc: 0.500
Eval Epoch: 10 | Loss: 1.065 | Eval Acc: 0.500
Test Epoch: 10 | Loss: 1.066 | Test Acc: 0.500
saving last....
Train Epoch:11  |Loss: 1.021 | Train Acc: 0.500
Eval Epoch: 11 | Loss: 1.067 | Eval Acc: 0.500
Test Epoch: 11 | Loss: 1.067 | Test Acc: 0.500
Train Epoch:12  |Loss: 1.018 | Train Acc: 0.500
Eval Epoch: 12 | Loss: 1.065 | Eval Acc: 0.500
Test Epoch: 12 | Loss: 1.065 | Test Acc: 0.500
Train Epoch:13  |Loss: 1.017 | Train Acc: 0.500
Eval Epoch: 13 | Loss: 1.063 | Eval Acc: 0.500
Test Epoch: 13 | Loss: 1.063 | Test Acc: 0.500
Train Epoch:14  |Loss: 1.014 | Train Acc: 0.500
Eval Epoch: 14 | Loss: 1.061 | Eval Acc: 0.500
Test Epoch: 14 | Loss: 1.061 | Test Acc: 0.500
Train Epoch:15  |Loss: 1.014 | Train Acc: 0.500
Eval Epoch: 15 | Loss: 1.059 | Eval Acc: 0.500
Test Epoch: 15 | Loss: 1.059 | Test Acc: 0.500
Train Epoch:16  |Loss: 1.009 | Train Acc: 0.500
Eval Epoch: 16 | Loss: 1.058 | Eval Acc: 0.500
Test Epoch: 16 | Loss: 1.058 | Test Acc: 0.500
Train Epoch:17  |Loss: 1.008 | Train Acc: 0.500
Eval Epoch: 17 | Loss: 1.052 | Eval Acc: 0.500
Test Epoch: 17 | Loss: 1.053 | Test Acc: 0.500
Train Epoch:18  |Loss: 1.004 | Train Acc: 0.500
Eval Epoch: 18 | Loss: 1.052 | Eval Acc: 0.500
Test Epoch: 18 | Loss: 1.053 | Test Acc: 0.500
Train Epoch:19  |Loss: 1.003 | Train Acc: 0.500
Eval Epoch: 19 | Loss: 1.053 | Eval Acc: 0.500
Test Epoch: 19 | Loss: 1.053 | Test Acc: 0.500
Train Epoch:20  |Loss: 0.998 | Train Acc: 0.500
Eval Epoch: 20 | Loss: 1.050 | Eval Acc: 0.500
Test Epoch: 20 | Loss: 1.050 | Test Acc: 0.500
saving last....
