Dataset using: ../Dataset/input.pkl
start training model with fold  0
Train Epoch:0  |Loss: 1.062 | Train Acc: 0.333
Eval Epoch: 0 | Loss: 1.034 | Eval Acc: 0.500
Test Epoch: 0 | Loss: 1.073 | Test Acc: 0.475
saving best....
Train Epoch:1  |Loss: 1.038 | Train Acc: 0.483
Eval Epoch: 1 | Loss: 1.041 | Eval Acc: 0.500
Test Epoch: 1 | Loss: 1.086 | Test Acc: 0.500
Train Epoch:2  |Loss: 1.038 | Train Acc: 0.483
Eval Epoch: 2 | Loss: 1.029 | Eval Acc: 0.500
Test Epoch: 2 | Loss: 1.062 | Test Acc: 0.475
Train Epoch:3  |Loss: 1.031 | Train Acc: 0.475
Eval Epoch: 3 | Loss: 1.020 | Eval Acc: 0.500
Test Epoch: 3 | Loss: 1.053 | Test Acc: 0.475
Train Epoch:4  |Loss: 1.026 | Train Acc: 0.475
Eval Epoch: 4 | Loss: 1.019 | Eval Acc: 0.500
Test Epoch: 4 | Loss: 1.052 | Test Acc: 0.475
Train Epoch:5  |Loss: 1.023 | Train Acc: 0.483
Eval Epoch: 5 | Loss: 1.021 | Eval Acc: 0.500
Test Epoch: 5 | Loss: 1.053 | Test Acc: 0.475
Train Epoch:6  |Loss: 1.020 | Train Acc: 0.483
Eval Epoch: 6 | Loss: 1.017 | Eval Acc: 0.500
Test Epoch: 6 | Loss: 1.046 | Test Acc: 0.475
Train Epoch:7  |Loss: 1.016 | Train Acc: 0.483
Eval Epoch: 7 | Loss: 1.016 | Eval Acc: 0.500
Test Epoch: 7 | Loss: 1.042 | Test Acc: 0.475
Train Epoch:8  |Loss: 1.014 | Train Acc: 0.500
Eval Epoch: 8 | Loss: 1.021 | Eval Acc: 0.500
Test Epoch: 8 | Loss: 1.046 | Test Acc: 0.500
Train Epoch:9  |Loss: 1.009 | Train Acc: 0.492
Eval Epoch: 9 | Loss: 1.009 | Eval Acc: 0.500
Test Epoch: 9 | Loss: 1.032 | Test Acc: 0.500
Train Epoch:10  |Loss: 1.004 | Train Acc: 0.483
Eval Epoch: 10 | Loss: 1.006 | Eval Acc: 0.500
Test Epoch: 10 | Loss: 1.027 | Test Acc: 0.500
saving last....
Train Epoch:11  |Loss: 1.000 | Train Acc: 0.500
Eval Epoch: 11 | Loss: 1.011 | Eval Acc: 0.525
Test Epoch: 11 | Loss: 1.032 | Test Acc: 0.500
saving best....
Train Epoch:12  |Loss: 0.997 | Train Acc: 0.517
Eval Epoch: 12 | Loss: 1.012 | Eval Acc: 0.525
Test Epoch: 12 | Loss: 1.027 | Test Acc: 0.500
Train Epoch:13  |Loss: 0.993 | Train Acc: 0.508
Eval Epoch: 13 | Loss: 1.003 | Eval Acc: 0.525
Test Epoch: 13 | Loss: 1.015 | Test Acc: 0.500
Train Epoch:14  |Loss: 0.991 | Train Acc: 0.508
Eval Epoch: 14 | Loss: 0.998 | Eval Acc: 0.525
Test Epoch: 14 | Loss: 1.016 | Test Acc: 0.500
Train Epoch:15  |Loss: 0.986 | Train Acc: 0.517
Eval Epoch: 15 | Loss: 1.012 | Eval Acc: 0.550
Test Epoch: 15 | Loss: 1.014 | Test Acc: 0.550
saving best....
Train Epoch:16  |Loss: 0.990 | Train Acc: 0.550
Eval Epoch: 16 | Loss: 1.004 | Eval Acc: 0.525
Test Epoch: 16 | Loss: 1.014 | Test Acc: 0.500
Train Epoch:17  |Loss: 0.999 | Train Acc: 0.533
Eval Epoch: 17 | Loss: 0.988 | Eval Acc: 0.550
Test Epoch: 17 | Loss: 0.998 | Test Acc: 0.500
Train Epoch:18  |Loss: 0.968 | Train Acc: 0.567
Eval Epoch: 18 | Loss: 1.017 | Eval Acc: 0.600
Test Epoch: 18 | Loss: 1.005 | Test Acc: 0.575
saving best....
Train Epoch:19  |Loss: 0.964 | Train Acc: 0.567
Eval Epoch: 19 | Loss: 1.002 | Eval Acc: 0.525
Test Epoch: 19 | Loss: 1.007 | Test Acc: 0.550
Train Epoch:20  |Loss: 0.982 | Train Acc: 0.542
Eval Epoch: 20 | Loss: 0.986 | Eval Acc: 0.525
Test Epoch: 20 | Loss: 0.989 | Test Acc: 0.575
saving last....
Train Epoch:21  |Loss: 0.965 | Train Acc: 0.575
Eval Epoch: 21 | Loss: 1.006 | Eval Acc: 0.600
Test Epoch: 21 | Loss: 0.988 | Test Acc: 0.575
Train Epoch:22  |Loss: 0.962 | Train Acc: 0.575
Eval Epoch: 22 | Loss: 0.982 | Eval Acc: 0.550
Test Epoch: 22 | Loss: 0.975 | Test Acc: 0.600
Train Epoch:23  |Loss: 0.935 | Train Acc: 0.608
Eval Epoch: 23 | Loss: 1.009 | Eval Acc: 0.600
Test Epoch: 23 | Loss: 0.982 | Test Acc: 0.600
Train Epoch:24  |Loss: 0.914 | Train Acc: 0.583
Eval Epoch: 24 | Loss: 0.966 | Eval Acc: 0.450
Test Epoch: 24 | Loss: 0.941 | Test Acc: 0.475
Train Epoch:25  |Loss: 0.915 | Train Acc: 0.567
Eval Epoch: 25 | Loss: 1.046 | Eval Acc: 0.625
Test Epoch: 25 | Loss: 0.981 | Test Acc: 0.600
saving best....
Train Epoch:26  |Loss: 0.921 | Train Acc: 0.600
Eval Epoch: 26 | Loss: 0.956 | Eval Acc: 0.500
Test Epoch: 26 | Loss: 0.911 | Test Acc: 0.600
Train Epoch:27  |Loss: 0.861 | Train Acc: 0.725
Eval Epoch: 27 | Loss: 1.017 | Eval Acc: 0.600
Test Epoch: 27 | Loss: 0.920 | Test Acc: 0.575
Train Epoch:28  |Loss: 0.877 | Train Acc: 0.600
Eval Epoch: 28 | Loss: 0.972 | Eval Acc: 0.500
Test Epoch: 28 | Loss: 0.956 | Test Acc: 0.625
Train Epoch:29  |Loss: 0.825 | Train Acc: 0.633
Eval Epoch: 29 | Loss: 1.024 | Eval Acc: 0.550
Test Epoch: 29 | Loss: 0.915 | Test Acc: 0.575
Train Epoch:30  |Loss: 0.805 | Train Acc: 0.675
Eval Epoch: 30 | Loss: 1.209 | Eval Acc: 0.625
Test Epoch: 30 | Loss: 1.098 | Test Acc: 0.600
saving last....
Train Epoch:31  |Loss: 0.852 | Train Acc: 0.608
